frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
387.97,-0.72,1.27,-0.72,1.26,-1.26,-1.22,-1.98,-1.99,-1.98
391.85,-0.72,1.26,-0.73,1.24,-1.24,-1.20,-1.95,-1.97,-1.97
395.77,-0.76,1.20,-0.74,1.21,-1.21,-1.17,-1.97,-1.96,-1.95
399.73,-0.76,1.19,-0.75,1.19,-1.19,-1.15,-1.95,-1.94,-1.94
403.72,-0.76,1.18,-0.76,1.17,-1.17,-1.12,-1.92,-1.93,-1.93
407.76,-0.76,1.17,-0.77,1.15,-1.14,-1.10,-1.90,-1.91,-1.92
411.84,-0.81,1.10,-0.79,1.12,-1.11,-1.07,-1.92,-1.90,-1.90
415.96,-0.81,1.09,-0.80,1.09,-1.09,-1.05,-1.90,-1.89,-1.89
420.12,-0.81,1.08,-0.82,1.06,-1.06,-1.03,-1.87,-1.89,-1.88
424.32,-0.84,1.04,-0.83,1.04,-1.04,-1.01,-1.88,-1.87,-1.87
428.56,-0.86,1.01,-0.85,1.01,-1.02,-0.98,-1.88,-1.87,-1.86
432.85,-0.86,1.00,-0.86,0.99,-1.00,-0.96,-1.86,-1.86,-1.85
437.18,-0.86,0.99,-0.86,0.98,-0.98,-0.94,-1.84,-1.84,-1.84
441.55,-0.86,0.97,-0.86,0.97,-0.97,-0.92,-1.82,-1.82,-1.82
445.96,-0.86,0.96,-0.86,0.96,-0.95,-0.90,-1.81,-1.81,-1.81
450.42,-0.86,0.95,-0.86,0.94,-0.94,-0.88,-1.80,-1.80,-1.80
454.93,-0.86,0.93,-0.86,0.93,-0.93,-0.86,-1.78,-1.78,-1.78
459.48,-0.86,0.92,-0.86,0.91,-0.91,-0.85,-1.77,-1.77,-1.77
464.07,-0.86,0.90,-0.86,0.90,-0.90,-0.83,-1.75,-1.75,-1.75
468.71,-0.86,0.88,-0.86,0.88,-0.88,-0.81,-1.74,-1.74,-1.73
473.40,-0.86,0.87,-0.86,0.86,-0.86,-0.79,-1.72,-1.72,-1.72
478.13,-0.86,0.85,-0.86,0.85,-0.85,-0.78,-1.70,-1.70,-1.70
482.91,-0.86,0.84,-0.86,0.83,-0.83,-0.76,-1.69,-1.69,-1.69
487.74,-0.86,0.82,-0.86,0.82,-0.82,-0.74,-1.67,-1.67,-1.67
492.62,-0.86,0.80,-0.86,0.80,-0.80,-0.73,-1.66,-1.66,-1.65
497.55,-0.86,0.79,-0.86,0.78,-0.79,-0.71,-1.64,-1.64,-1.64
502.52,-0.86,0.77,-0.86,0.77,-0.77,-0.70,-1.63,-1.63,-1.62
507.55,-0.86,0.76,-0.86,0.75,-0.75,-0.68,-1.61,-1.61,-1.61
512.62,-0.86,0.74,-0.86,0.73,-0.74,-0.67,-1.59,-1.59,-1.59
517.75,-0.86,0.72,-0.85,0.72,-0.71,-0.66,-1.57,-1.57,-1.57
522.93,-0.86,0.70,-0.86,0.70,-0.69,-0.64,-1.55,-1.55,-1.55
528.16,-0.86,0.69,-0.87,0.67,-0.67,-0.63,-1.52,-1.54,-1.54
533.44,-0.90,0.63,-0.88,0.64,-0.64,-0.62,-1.53,-1.52,-1.52
538.77,-0.90,0.61,-0.90,0.61,-0.60,-0.60,-1.50,-1.50,-1.50
544.16,-0.90,0.59,-0.92,0.57,-0.57,-0.59,-1.47,-1.49,-1.48
549.60,-0.95,0.52,-0.93,0.54,-0.54,-0.58,-1.48,-1.46,-1.46
555.10,-0.95,0.51,-0.95,0.50,-0.50,-0.57,-1.45,-1.45,-1.45
560.65,-0.95,0.49,-0.97,0.46,-0.47,-0.56,-1.42,-1.44,-1.43
566.25,-1.00,0.42,-0.98,0.44,-0.44,-0.55,-1.44,-1.42,-1.41
571.92,-1.00,0.41,-0.99,0.41,-0.41,-0.54,-1.40,-1.40,-1.40
577.64,-1.00,0.40,-1.00,0.39,-0.38,-0.53,-1.38,-1.38,-1.39
583.41,-1.00,0.38,-1.01,0.36,-0.35,-0.52,-1.35,-1.36,-1.37
589.25,-1.04,0.32,-1.02,0.33,-0.33,-0.51,-1.36,-1.35,-1.35
595.14,-1.04,0.30,-1.04,0.30,-0.31,-0.50,-1.34,-1.35,-1.33
601.09,-1.04,0.29,-1.04,0.28,-0.29,-0.49,-1.33,-1.33,-1.32
607.10,-1.04,0.27,-1.03,0.28,-0.28,-0.48,-1.31,-1.30,-1.30
613.17,-1.00,0.29,-1.01,0.27,-0.27,-0.47,-1.27,-1.28,-1.28
619.30,-1.00,0.27,-0.99,0.27,-0.27,-0.47,-1.27,-1.26,-1.26
625.50,-0.98,0.27,-0.97,0.27,-0.28,-0.46,-1.25,-1.25,-1.24
631.75,-0.95,0.29,-0.95,0.28,-0.29,-0.45,-1.23,-1.24,-1.23
638.07,-0.92,0.30,-0.92,0.30,-0.30,-0.44,-1.22,-1.22,-1.21
644.45,-0.88,0.33,-0.88,0.32,-0.32,-0.44,-1.20,-1.20,-1.20
650.89,-0.85,0.34,-0.84,0.34,-0.34,-0.43,-1.18,-1.18,-1.18
657.40,-0.81,0.37,-0.81,0.36,-0.36,-0.43,-1.17,-1.17,-1.17
663.98,-0.77,0.39,-0.78,0.38,-0.38,-0.42,-1.15,-1.16,-1.15
670.62,-0.76,0.39,-0.74,0.40,-0.40,-0.42,-1.16,-1.14,-1.14
677.32,-0.72,0.42,-0.72,0.42,-0.42,-0.41,-1.13,-1.13,-1.13
684.10,-0.68,0.45,-0.69,0.43,-0.43,-0.41,-1.11,-1.12,-1.12
690.94,-0.67,0.44,-0.66,0.45,-0.44,-0.40,-1.11,-1.10,-1.10
697.85,-0.65,0.45,-0.64,0.45,-0.45,-0.40,-1.10,-1.09,-1.09
704.83,-0.62,0.47,-0.63,0.45,-0.45,-0.39,-1.07,-1.08,-1.08
711.87,-0.62,0.46,-0.62,0.46,-0.46,-0.39,-1.07,-1.08,-1.07
718.99,-0.62,0.45,-0.61,0.46,-0.46,-0.39,-1.07,-1.06,-1.06
726.18,-0.60,0.46,-0.60,0.46,-0.46,-0.39,-1.05,-1.05,-1.05
733.44,-0.58,0.47,-0.58,0.45,-0.45,-0.38,-1.03,-1.04,-1.04
740.78,-0.58,0.45,-0.58,0.45,-0.45,-0.38,-1.02,-1.02,-1.02
748.19,-0.58,0.44,-0.58,0.44,-0.44,-0.38,-1.02,-1.02,-1.01
755.67,-0.58,0.44,-0.58,0.43,-0.43,-0.38,-1.01,-1.01,-1.01
763.23,-0.58,0.43,-0.58,0.43,-0.43,-0.38,-1.00,-1.00,-1.00
770.86,-0.58,0.42,-0.58,0.42,-0.42,-0.38,-0.99,-0.99,-0.99
778.57,-0.58,0.41,-0.58,0.41,-0.41,-0.38,-0.99,-0.99,-0.98
786.35,-0.58,0.40,-0.58,0.40,-0.40,-0.39,-0.98,-0.98,-0.97
794.22,-0.58,0.40,-0.58,0.39,-0.39,-0.39,-0.97,-0.97,-0.97
802.16,-0.58,0.39,-0.58,0.39,-0.39,-0.39,-0.97,-0.97,-0.96
810.18,-0.58,0.38,-0.58,0.38,-0.38,-0.39,-0.96,-0.96,-0.95
818.28,-0.58,0.38,-0.58,0.37,-0.37,-0.40,-0.95,-0.95,-0.95
826.46,-0.58,0.37,-0.57,0.37,-0.36,-0.40,-0.94,-0.94,-0.94
834.73,-0.58,0.37,-0.58,0.36,-0.35,-0.41,-0.93,-0.94,-0.94
843.08,-0.59,0.35,-0.59,0.34,-0.34,-0.42,-0.93,-0.93,-0.93
851.51,-0.62,0.32,-0.60,0.33,-0.32,-0.43,-0.94,-0.92,-0.93
860.02,-0.62,0.31,-0.62,0.31,-0.30,-0.43,-0.92,-0.92,-0.92
868.62,-0.62,0.31,-0.64,0.28,-0.28,-0.44,-0.90,-0.92,-0.92
877.31,-0.67,0.25,-0.65,0.26,-0.26,-0.45,-0.92,-0.91,-0.91
886.08,-0.67,0.24,-0.67,0.24,-0.23,-0.47,-0.90,-0.90,-0.90
894.94,-0.67,0.23,-0.68,0.22,-0.21,-0.48,-0.88,-0.89,-0.89
903.89,-0.69,0.21,-0.68,0.21,-0.20,-0.50,-0.89,-0.88,-0.89
912.93,-0.69,0.20,-0.69,0.20,-0.20,-0.51,-0.89,-0.89,-0.88
922.06,-0.67,0.21,-0.68,0.20,-0.21,-0.53,-0.88,-0.89,-0.87
931.28,-0.67,0.21,-0.65,0.22,-0.24,-0.55,-0.91,-0.89,-0.87
940.59,-0.60,0.27,-0.60,0.26,-0.28,-0.57,-0.88,-0.88,-0.86
950.00,-0.53,0.33,-0.53,0.33,-0.34,-0.59,-0.87,-0.86,-0.85
959.50,-0.43,0.42,-0.43,0.41,-0.41,-0.62,-0.84,-0.84,-0.84
969.09,-0.34,0.49,-0.33,0.49,-0.49,-0.64,-0.83,-0.82,-0.82
978.78,-0.23,0.59,-0.23,0.58,-0.58,-0.67,-0.80,-0.81,-0.81
988.57,-0.13,0.68,-0.13,0.67,-0.67,-0.70,-0.80,-0.80,-0.80
998.46,-0.02,0.77,-0.01,0.77,-0.76,-0.73,-0.78,-0.78,-0.78
1008.44,0.09,0.86,0.09,0.86,-0.85,-0.77,-0.76,-0.76,-0.76
1018.53,0.20,0.95,0.20,0.94,-0.94,-0.80,-0.73,-0.74,-0.74
1028.71,0.29,1.02,0.30,1.02,-1.02,-0.84,-0.72,-0.72,-0.72
1039.00,0.39,1.10,0.39,1.09,-1.09,-0.88,-0.70,-0.70,-0.70
1049.39,0.46,1.15,0.47,1.15,-1.15,-0.92,-0.69,-0.68,-0.68
1059.88,0.55,1.22,0.55,1.21,-1.21,-0.97,-0.66,-0.66,-0.66
1070.48,0.63,1.27,0.63,1.26,-1.26,-1.01,-0.63,-0.63,-0.63
1081.19,0.70,1.31,0.70,1.30,-1.30,-1.06,-0.60,-0.60,-0.60
1092.00,0.75,1.33,0.76,1.34,-1.33,-1.10,-0.58,-0.57,-0.57
1102.92,0.82,1.37,0.82,1.36,-1.36,-1.15,-0.53,-0.54,-0.54
1113.95,0.87,1.39,0.87,1.38,-1.37,-1.19,-0.50,-0.50,-0.51
1125.09,0.90,1.38,0.90,1.38,-1.37,-1.23,-0.47,-0.47,-0.47
1136.34,0.93,1.37,0.94,1.37,-1.37,-1.27,-0.44,-0.43,-0.43
1147.70,0.96,1.35,0.96,1.35,-1.36,-1.30,-0.39,-0.39,-0.38
1159.18,1.00,1.35,1.00,1.34,-1.34,-1.33,-0.34,-0.35,-0.34
1170.77,1.01,1.32,1.02,1.32,-1.32,-1.35,-0.31,-0.30,-0.30
1182.48,1.05,1.31,1.05,1.30,-1.30,-1.37,-0.24,-0.25,-0.25
1194.30,1.05,1.26,1.06,1.27,-1.27,-1.37,-0.22,-0.21,-0.20
1206.25,1.10,1.26,1.09,1.24,-1.24,-1.37,-0.14,-0.15,-0.15
1218.31,1.10,1.20,1.11,1.21,-1.21,-1.36,-0.11,-0.10,-0.09
1230.49,1.15,1.20,1.14,1.19,-1.19,-1.33,-0.03,-0.04,-0.04
1242.80,1.15,1.15,1.16,1.15,-1.15,-1.30,0.00,0.01,0.01
1255.22,1.19,1.13,1.19,1.12,-1.12,-1.26,0.08,0.07,0.07
1267.78,1.19,1.07,1.20,1.08,-1.08,-1.21,0.11,0.13,0.13
1280.45,1.24,1.06,1.23,1.04,-1.04,-1.16,0.20,0.19,0.19
1293.26,1.24,0.99,1.25,1.00,-1.00,-1.10,0.25,0.26,0.26
1306.19,1.27,0.96,1.27,0.95,-0.95,-1.03,0.33,0.33,0.32
1319.25,1.29,0.91,1.28,0.89,-0.89,-0.96,0.40,0.39,0.39
1332.45,1.29,0.84,1.30,0.84,-0.84,-0.88,0.45,0.46,0.46
1345.77,1.29,0.77,1.31,0.78,-0.78,-0.80,0.51,0.53,0.53
1359.23,1.33,0.74,1.32,0.72,-0.72,-0.72,0.61,0.60,0.60
1372.82,1.33,0.66,1.33,0.65,-0.66,-0.64,0.67,0.67,0.68
1386.55,1.33,0.59,1.34,0.59,-0.60,-0.56,0.74,0.74,0.75
1400.41,1.33,0.52,1.34,0.53,-0.53,-0.48,0.80,0.81,0.82
1414.42,1.36,0.48,1.36,0.47,-0.47,-0.40,0.89,0.89,0.89
1428.56,1.38,0.42,1.37,0.41,-0.41,-0.32,0.98,0.97,0.97
1442.85,1.38,0.35,1.38,0.35,-0.34,-0.24,1.04,1.05,1.04
1457.28,1.38,0.28,1.38,0.28,-0.27,-0.16,1.11,1.11,1.11
1471.85,1.38,0.21,1.38,0.21,-0.20,-0.08,1.18,1.18,1.18
1486.57,1.38,0.14,1.38,0.13,-0.13,-0.01,1.25,1.25,1.25
1501.43,1.38,0.06,1.38,0.05,-0.06,0.07,1.32,1.32,1.33
1516.45,1.38,-0.03,1.39,-0.02,0.02,0.14,1.40,1.41,1.42
1531.61,1.40,-0.09,1.41,-0.09,0.09,0.22,1.50,1.50,1.50
1546.93,1.43,-0.15,1.42,-0.17,0.17,0.29,1.60,1.59,1.59
1562.40,1.43,-0.24,1.43,-0.25,0.25,0.36,1.68,1.68,1.68
1578.02,1.43,-0.33,1.44,-0.33,0.33,0.44,1.76,1.77,1.77
1593.80,1.43,-0.41,1.44,-0.41,0.41,0.51,1.84,1.85,1.85
1609.74,1.47,-0.47,1.46,-0.49,0.49,0.58,1.96,1.95,1.95
1625.84,1.47,-0.57,1.48,-0.57,0.57,0.65,2.04,2.04,2.05
1642.10,1.50,-0.64,1.50,-0.65,0.65,0.73,2.15,2.15,2.15
1658.52,1.52,-0.73,1.52,-0.73,0.72,0.80,2.24,2.25,2.26
1675.10,1.56,-0.79,1.55,-0.80,0.80,0.87,2.36,2.35,2.36
1691.85,1.57,-0.88,1.58,-0.88,0.87,0.95,2.44,2.45,2.46
1708.77,1.61,-0.95,1.62,-0.95,0.95,1.03,2.56,2.57,2.57
1725.86,1.66,-1.01,1.65,-1.03,1.02,1.10,2.69,2.68,2.68
1743.12,1.69,-1.10,1.69,-1.10,1.11,1.18,2.80,2.80,2.80
1760.55,1.71,-1.19,1.72,-1.19,1.20,1.26,2.91,2.92,2.91
1778.15,1.75,-1.27,1.74,-1.28,1.29,1.34,3.05,3.03,3.03
1795.94,1.75,-1.38,1.75,-1.39,1.40,1.43,3.15,3.15,3.14
1813.90,1.75,-1.50,1.76,-1.50,1.51,1.51,3.26,3.26,3.26
1832.03,1.75,-1.62,1.75,-1.63,1.63,1.60,3.38,3.38,3.38
1850.36,1.75,-1.75,1.75,-1.75,1.75,1.68,3.50,3.50,3.51
1868.86,1.75,-1.87,1.75,-1.87,1.87,1.77,3.63,3.63,3.63
1887.55,1.75,-1.99,1.75,-2.00,2.00,1.87,3.75,3.75,3.75
1906.42,1.75,-2.11,1.75,-2.12,2.12,1.96,3.87,3.87,3.87
1925.49,1.75,-2.24,1.76,-2.24,2.24,2.05,3.99,3.99,4.00
1944.74,1.77,-2.35,1.78,-2.35,2.34,2.15,4.12,4.12,4.13
1964.19,1.80,-2.45,1.80,-2.45,2.45,2.24,4.25,4.25,4.26
1983.83,1.84,-2.53,1.84,-2.54,2.54,2.34,4.38,4.38,4.38
2003.67,1.87,-2.63,1.87,-2.63,2.62,2.43,4.50,4.49,4.51
2023.71,1.90,-2.70,1.91,-2.70,2.70,2.53,4.60,4.61,4.61
2043.94,1.95,-2.76,1.95,-2.76,2.77,2.63,4.72,4.72,4.72
2064.38,2.01,-2.81,2.00,-2.82,2.82,2.72,4.84,4.83,4.83
2085.03,2.05,-2.87,2.06,-2.87,2.88,2.81,4.93,4.93,4.93
2105.88,2.10,-2.93,2.11,-2.93,2.92,2.90,5.03,5.03,5.04
2126.94,2.17,-2.96,2.17,-2.97,2.97,2.98,5.14,5.13,5.14
2148.20,2.23,-3.01,2.24,-3.01,3.01,3.06,5.24,5.24,5.25
2169.69,2.30,-3.04,2.31,-3.04,3.04,3.13,5.35,5.35,5.35
2191.38,2.38,-3.06,2.38,-3.07,3.08,3.20,5.46,5.45,5.45
2213.30,2.44,-3.10,2.45,-3.11,3.11,3.26,5.55,5.56,5.55
2235.43,2.51,-3.14,2.51,-3.14,3.15,3.31,5.66,5.66,5.66
2257.78,2.57,-3.18,2.58,-3.18,3.18,3.35,5.76,5.76,5.76
2280.36,2.64,-3.20,2.64,-3.21,3.22,3.38,5.86,5.86,5.85
2303.17,2.71,-3.23,2.70,-3.25,3.25,3.40,5.97,5.96,5.95
2326.20,2.75,-3.29,2.76,-3.28,3.29,3.42,6.04,6.05,6.05
2349.46,2.82,-3.32,2.82,-3.32,3.32,3.42,6.14,6.13,6.15
2372.95,2.88,-3.34,2.88,-3.35,3.34,3.41,6.22,6.22,6.23
2396.68,2.94,-3.36,2.95,-3.36,3.35,3.39,6.30,6.30,6.31
2420.65,3.02,-3.35,3.02,-3.36,3.36,3.36,6.38,6.38,6.38
2444.86,3.09,-3.36,3.10,-3.35,3.36,3.33,6.45,6.46,6.46
2469.31,3.20,-3.32,3.19,-3.34,3.34,3.28,6.54,6.53,6.53
2494.00,3.28,-3.32,3.29,-3.32,3.31,3.23,6.60,6.60,6.61
2518.94,3.39,-3.28,3.39,-3.28,3.27,3.17,6.67,6.67,6.68
2544.13,3.50,-3.23,3.51,-3.23,3.22,3.10,6.73,6.73,6.74
2569.57,3.63,-3.16,3.63,-3.17,3.17,3.03,6.80,6.80,6.80
2595.27,3.77,-3.09,3.77,-3.10,3.10,2.96,6.87,6.86,6.87
2621.22,3.90,-3.02,3.91,-3.02,3.02,2.88,6.92,6.93,6.93
2647.43,4.06,-2.92,4.05,-2.93,2.94,2.80,7.00,6.99,6.99
2673.90,4.20,-2.84,4.20,-2.84,2.85,2.72,7.05,7.05,7.05
2700.64,4.34,-2.75,4.35,-2.75,2.75,2.64,7.10,7.10,7.10
2727.65,4.50,-2.65,4.50,-2.66,2.66,2.56,7.16,7.16,7.16
2754.93,4.65,-2.55,4.65,-2.56,2.56,2.47,7.21,7.21,7.21
2782.48,4.80,-2.45,4.80,-2.46,2.45,2.39,7.26,7.26,7.26
2810.30,4.95,-2.35,4.95,-2.35,2.35,2.31,7.30,7.30,7.31
2838.40,5.09,-2.25,5.10,-2.25,2.24,2.22,7.34,7.34,7.35
2866.79,5.25,-2.12,5.24,-2.14,2.14,2.14,7.39,7.38,7.38
2895.46,5.37,-2.04,5.38,-2.03,2.03,2.06,7.41,7.42,7.42
2924.41,5.51,-1.93,5.52,-1.93,1.93,1.98,7.44,7.45,7.45
2953.65,5.67,-1.80,5.65,-1.83,1.84,1.90,7.51,7.49,7.48
2983.19,5.77,-1.74,5.79,-1.73,1.74,1.82,7.52,7.53,7.52
3013.02,5.91,-1.63,5.91,-1.64,1.65,1.74,7.57,7.56,7.55
3043.15,6.02,-1.56,6.02,-1.57,1.57,1.66,7.59,7.58,7.59
3073.58,6.12,-1.49,6.13,-1.49,1.48,1.58,7.61,7.61,7.62
3104.32,6.23,-1.42,6.24,-1.42,1.40,1.50,7.63,7.64,7.66
3135.36,6.36,-1.32,6.36,-1.33,1.31,1.42,7.68,7.67,7.69
3166.72,6.47,-1.24,6.47,-1.24,1.23,1.33,7.70,7.70,7.72
3198.38,6.58,-1.14,6.59,-1.14,1.15,1.25,7.73,7.74,7.73
3230.37,6.69,-1.05,6.69,-1.06,1.07,1.16,7.76,7.76,7.75
3262.67,6.79,-0.96,6.79,-0.97,0.98,1.08,7.78,7.77,7.76
3295.30,6.86,-0.91,6.87,-0.90,0.90,0.99,7.77,7.78,7.78
3328.25,6.95,-0.83,6.95,-0.84,0.83,0.90,7.78,7.78,7.79
3361.53,7.02,-0.77,7.02,-0.78,0.77,0.81,7.79,7.79,7.80
3395.15,7.08,-0.71,7.09,-0.71,0.71,0.72,7.79,7.80,7.80
3429.10,7.13,-0.66,7.14,-0.65,0.66,0.64,7.80,7.80,7.80
3463.39,7.19,-0.59,7.18,-0.61,0.62,0.56,7.81,7.80,7.79
3498.03,7.20,-0.58,7.20,-0.59,0.59,0.50,7.79,7.79,7.79
3533.01,7.20,-0.58,7.21,-0.57,0.57,0.44,7.77,7.78,7.79
3568.34,7.21,-0.56,7.21,-0.56,0.55,0.41,7.77,7.76,7.78
3604.02,7.20,-0.54,7.20,-0.55,0.55,0.39,7.75,7.75,7.75
3640.06,7.17,-0.55,7.17,-0.56,0.56,0.40,7.73,7.73,7.73
3676.46,7.12,-0.58,7.13,-0.58,0.58,0.44,7.70,7.71,7.71
3713.22,7.06,-0.61,7.07,-0.62,0.62,0.50,7.68,7.68,7.68
3750.36,6.99,-0.66,6.99,-0.66,0.66,0.60,7.66,7.66,7.66
3787.86,6.90,-0.71,6.90,-0.72,0.73,0.72,7.63,7.62,7.62
3825.74,6.78,-0.79,6.78,-0.80,0.80,0.86,7.59,7.58,7.58
3864.00,6.63,-0.90,6.64,-0.89,0.89,1.02,7.53,7.54,7.54
3902.64,6.50,-0.99,6.50,-1.01,1.00,1.19,7.50,7.50,7.50
3941.66,6.33,-1.13,6.34,-1.13,1.12,1.37,7.46,7.46,7.47
3981.08,6.16,-1.26,6.16,-1.26,1.26,1.54,7.42,7.42,7.43
4020.89,5.97,-1.40,5.96,-1.41,1.42,1.71,7.39,7.38,7.38
4061.10,5.73,-1.58,5.75,-1.57,1.59,1.87,7.32,7.34,7.32
4101.71,5.51,-1.74,5.51,-1.76,1.80,2.02,7.32,7.31,7.26
4142.73,5.25,-1.95,5.25,-1.95,2.04,2.15,7.29,7.29,7.21
4184.15,4.97,-2.17,4.98,-2.17,2.27,2.25,7.24,7.24,7.15
4226.00,4.69,-2.39,4.68,-2.41,2.47,2.32,7.16,7.15,7.09
4268.26,4.38,-2.64,4.39,-2.63,2.63,2.37,7.01,7.01,7.03
4310.94,4.10,-2.84,4.10,-2.85,2.72,2.39,6.83,6.82,6.95
4354.05,3.83,-3.03,3.83,-3.04,2.75,2.38,6.59,6.59,6.87
4397.59,3.60,-3.19,3.60,-3.19,2.71,2.33,6.31,6.31,6.80
4441.56,3.44,-3.27,3.42,-3.29,2.59,2.25,6.04,6.02,6.72
4485.98,3.31,-3.32,3.34,-3.29,2.41,2.14,5.72,5.75,6.64
4530.84,3.36,-3.19,3.37,-3.18,2.20,1.99,5.56,5.57,6.56
4576.15,3.53,-2.93,3.52,-2.95,1.95,1.81,5.48,5.47,6.47
4621.91,3.77,-2.61,3.78,-2.60,1.66,1.60,5.44,5.45,6.39
4668.13,4.12,-2.17,4.13,-2.17,1.36,1.37,5.48,5.48,6.30
4714.81,4.54,-1.66,4.54,-1.67,1.03,1.10,5.58,5.57,6.21
4761.96,5.00,-1.12,5.01,-1.11,0.68,0.80,5.68,5.68,6.13
4809.58,5.49,-0.53,5.50,-0.53,0.28,0.47,5.77,5.77,6.03
4857.67,6.00,0.07,5.99,0.05,-0.16,0.12,5.84,5.83,5.94
4906.25,6.47,0.63,6.47,0.63,-0.62,-0.27,5.86,5.85,5.85
4955.31,6.91,1.17,6.91,1.16,-1.09,-0.67,5.83,5.83,5.75
5004.87,7.31,1.66,7.31,1.65,-1.55,-1.10,5.76,5.76,5.66
5054.91,7.66,2.09,7.66,2.08,-2.00,-1.55,5.66,5.66,5.58
5105.46,7.95,2.46,7.94,2.44,-2.40,-2.01,5.55,5.54,5.50
5156.52,8.16,2.74,8.17,2.75,-2.74,-2.46,5.42,5.43,5.43
5208.08,8.33,2.99,8.34,2.99,-3.00,-2.89,5.34,5.34,5.35
5260.16,8.46,3.20,8.45,3.18,-3.19,-3.27,5.27,5.26,5.27
5312.77,8.50,3.32,8.50,3.32,-3.32,-3.58,5.18,5.18,5.19
5365.89,8.50,3.40,8.50,3.39,-3.39,-3.77,5.11,5.10,5.11
5419.55,8.42,3.40,8.43,3.39,-3.40,-3.83,5.02,5.02,5.03
5473.75,8.30,3.35,8.30,3.34,-3.34,-3.74,4.96,4.96,4.96
5528.49,8.11,3.24,8.10,3.22,-3.21,-3.51,4.90,4.89,4.88
5583.77,7.84,3.05,7.83,3.03,-3.00,-3.15,4.84,4.83,4.80
5639.61,7.50,2.77,7.49,2.76,-2.72,-2.70,4.78,4.77,4.74
5696.00,7.09,2.43,7.07,2.40,-2.36,-2.19,4.73,4.70,4.67
5752.96,6.59,1.99,6.58,1.97,-1.94,-1.64,4.66,4.64,4.61
5810.49,6.04,1.50,6.02,1.47,-1.45,-1.08,4.60,4.58,4.55
5868.60,5.44,0.96,5.40,0.91,-0.90,-0.51,4.54,4.50,4.49
5927.28,4.77,0.35,4.75,0.32,-0.31,0.04,4.46,4.44,4.43
5986.56,4.07,-0.28,4.05,-0.31,0.31,0.59,4.38,4.36,4.36
6046.42,3.38,-0.89,3.34,-0.94,0.94,1.12,4.32,4.27,4.28
6106.89,2.63,-1.55,2.62,-1.57,1.56,1.63,4.20,4.19,4.19
6167.96,1.92,-2.17,1.92,-2.18,2.17,2.11,4.10,4.09,4.10
6229.64,1.24,-2.76,1.25,-2.76,2.75,2.57,3.99,4.00,4.01
6291.93,0.59,-3.32,0.63,-3.29,3.28,3.01,3.87,3.91,3.92
6354.85,-0.02,-3.85,0.08,-3.77,3.74,3.41,3.73,3.83,3.84
6418.40,-0.56,-4.31,-0.41,-4.18,4.14,3.77,3.59,3.74,3.76
6482.58,-1.03,-4.71,-0.81,-4.51,4.47,4.09,3.44,3.66,3.69
6547.41,-1.47,-5.07,-1.13,-4.75,4.71,4.36,3.24,3.58,3.61
6612.88,-1.80,-5.32,-1.37,-4.91,4.87,4.57,3.08,3.51,3.53
6679.01,-2.10,-5.54,-1.53,-4.99,4.96,4.73,2.86,3.43,3.45
6745.80,-2.32,-5.68,-1.62,-5.00,4.97,4.83,2.66,3.35,3.37
6813.26,-2.50,-5.77,-1.67,-4.95,4.93,4.88,2.43,3.26,3.28
6881.39,-2.59,-5.76,-1.66,-4.84,4.84,4.89,2.25,3.18,3.18
6950.21,-2.67,-5.75,-1.62,-4.71,4.72,4.85,2.05,3.10,3.09
7019.71,-2.60,-5.59,-1.57,-4.56,4.58,4.79,1.99,3.01,3.00
7089.91,-2.52,-5.42,-1.53,-4.41,4.44,4.70,1.93,2.92,2.91
7160.81,-2.40,-5.20,-1.50,-4.28,4.31,4.60,1.92,2.81,2.81
7232.41,-2.23,-4.92,-1.51,-4.17,4.20,4.50,1.97,2.69,2.70
7304.74,-2.06,-4.64,-1.54,-4.08,4.11,4.39,2.05,2.57,2.59
7377.79,-1.86,-4.33,-1.59,-4.02,4.04,4.29,2.18,2.44,2.48
7451.56,-1.67,-4.03,-1.67,-3.99,3.99,4.19,2.32,2.32,2.37
7526.08,-1.53,-3.78,-1.77,-3.96,3.96,4.11,2.43,2.19,2.26
7601.34,-1.39,-3.54,-1.88,-3.95,3.95,4.03,2.56,2.07,2.16
7677.35,-1.27,-3.32,-2.00,-3.95,3.95,3.97,2.68,1.95,2.06
7754.13,-1.20,-3.15,-2.13,-3.97,3.96,3.93,2.77,1.83,1.96
7831.67,-1.18,-3.03,-2.28,-3.99,3.99,3.89,2.81,1.71,1.86
7909.98,-1.26,-3.01,-2.44,-4.03,4.03,3.87,2.77,1.59,1.76
7989.08,-1.39,-3.04,-2.61,-4.07,4.08,3.86,2.69,1.47,1.66
8068.98,-1.62,-3.16,-2.80,-4.13,4.14,3.87,2.52,1.34,1.55
8149.67,-1.90,-3.33,-2.99,-4.20,4.21,3.89,2.31,1.22,1.44
8231.16,-2.28,-3.59,-3.20,-4.28,4.29,3.92,2.01,1.09,1.32
8313.47,-2.78,-3.98,-3.41,-4.37,4.37,3.97,1.60,0.96,1.21
8396.61,-3.37,-4.46,-3.63,-4.46,4.46,4.02,1.10,0.83,1.10
8480.57,-4.10,-5.08,-3.85,-4.56,4.56,4.09,0.46,0.70,0.99
8565.38,-4.94,-5.79,-4.07,-4.65,4.65,4.17,-0.29,0.58,0.86
